X,Y,NUMBER,NAME,PERIOD,icon_url
94.858439,21.149358,,,,./0.png
94.859645,21.149729,,,,./0.png
94.860148,21.150004,,,,./0.png
94.858661,21.150946,,,,./0.png
94.858657,21.150619,,,,./0.png
94.858016,21.150344,,,,./0.png
94.857903,21.148954,,,,./0.png
94.858094,21.148933,,,,./0.png
94.857894,21.149083,,,,./0.png
94.860452,21.152317,,,,./0.png
94.860866,21.156646,,,,./0.png
94.860938,21.156487,,,,./0.png
94.860714,21.156428,,,,./0.png
94.860145,21.158508,,,,./0.png
94.859789,21.159026,,,,./0.png
94.860049,21.159372,,,,./0.png
94.860199,21.159491,,,,./0.png
94.860127,21.15965,,,,./0.png
94.86014,21.159024,,,,./0.png
94.860141,21.159124,,,,./0.png
94.860428,21.159112,,,,./0.png
94.860676,21.159409,,,,./0.png
94.860594,21.159608,,,,./0.png
94.860513,21.16081,,,,./0.png
94.858034,21.158917,,,,./0.png
94.856085,21.15854,,,,./0.png
94.856598,21.158805,,,,./0.png
94.853779,21.158562,,,,./0.png
94.853726,21.160311,,,,./0.png
94.853685,21.16047,,,,./0.png
94.853622,21.16058,,,,./0.png
94.853932,21.160657,,,,./0.png
94.854017,21.160667,,,,./0.png
94.853823,21.161343,,,,./0.png
94.854139,21.158471,,,,./0.png
94.854256,21.15848,,,,./0.png
94.854952,21.158049,,,,./0.png
94.853703,21.157589,,,,./0.png
94.860193,21.161587,,,,./0.png
94.860211,21.161338,,,,./0.png
94.860143,21.161915,,,,./0.png
94.86023,21.162073,,,,./0.png
94.860274,21.162192,,,,./0.png
94.860222,21.162262,,,,./0.png
94.860213,21.162362,,,,./0.png
94.859952,21.1628,,,,./0.png
94.859817,21.163049,,,,./0.png
94.860033,21.163306,,,,./0.png
94.859666,21.162871,,,,./0.png
94.859583,21.163001,,,,./0.png
94.85875,21.162678,,,,./0.png
94.859004,21.162597,,,,./0.png
94.858504,21.16257,,,,./0.png
94.858799,21.162389,,,,./0.png
94.858522,21.162351,,,,./0.png
94.857733,21.162127,,,,./0.png
94.857742,21.161938,,,,./0.png
94.856971,21.162369,,,,./0.png
94.855949,21.162236,,,,./0.png
94.855908,21.162335,,,,./0.png
94.861441,21.163765,,,,./0.png
94.861516,21.163825,,,,./0.png
94.861518,21.163934,,,,./0.png
94.861572,21.164003,,,,./0.png
94.862309,21.164327,,,,./0.png
94.862776,21.165129,,,,./0.png
94.862662,21.165368,,,,./0.png
94.862685,21.165487,,,,./0.png
94.862642,21.165537,"1478",Sinmyarshin pagoda,,./0.png
94.85986,21.165731,,,,./0.png
94.859655,21.165444,,,,./0.png
94.859559,21.165455,,,,./0.png
94.861545,21.166189,,,,./0.png
94.861693,21.166138,,,,./0.png
94.862623,21.165696,,,,./0.png
94.857838,21.163775,,,,./0.png
94.857869,21.163656,,,,./0.png
94.857845,21.163477,,,,./0.png
94.857832,21.163289,,,,./0.png
94.861816,21.168383,,,,./0.png
94.861634,21.169099,,,,./0.png
94.861565,21.168712,,,,./0.png
94.861288,21.168614,,,,./0.png
94.860199,21.168242,,,,./0.png
94.858393,21.168292,,,,./0.png
94.857187,21.168795,,,,./0.png
94.857678,21.168952,,,,./0.png
94.858062,21.168185,"1605",Pahtotharmyar,,./0.png
94.861968,21.175584,,,,./0.png
94.861843,21.174978,,,,./0.png
94.86232,21.174837,,,,./0.png
94.862981,21.174972,,,,./0.png
94.861998,21.17456,,,,./0.png
94.860815,21.174308,,,,./0.png
94.860747,21.174865,,,,./0.png
94.860354,21.174907,,,,./0.png
94.860152,21.174868,,,,./0.png
94.861433,21.176222,,,,./0.png
94.861346,21.176064,,,,./0.png
94.861345,21.175964,,,,./0.png
94.862818,21.176433,,,,./0.png
94.862573,21.176454,,,,./0.png
94.862554,21.176584,,,,./0.png
94.862766,21.176553,,,,./0.png
94.85774,21.173213,,,,./0.png
94.857889,21.173232,,,,./0.png
94.864011,21.174927,,,,./0.png
94.864437,21.169769,,,,./0.png
94.86341,21.170072,,,,./0.png
94.862345,21.169909,,,,./0.png
94.862441,21.169909,,,,./0.png
94.859872,21.171065,,,,./0.png
94.858463,21.170556,,,,./0.png
94.858825,21.171478,,,,./0.png
94.866199,21.166918,,,,./0.png
94.865968,21.166313,,,,./0.png
94.865766,21.166285,,,,./0.png
94.867013,21.16745,,,,./0.png
94.867784,21.167933,,,,./0.png
94.867616,21.168043,,,,./0.png
94.867722,21.168052,,,,./0.png
94.867613,21.167864,,,,./0.png
94.867458,21.16555,,,,./0.png
94.867391,21.165332,,,,./0.png
94.868618,21.164799,,,,./0.png
94.868885,21.164907,,,,./0.png
94.868905,21.164827,,,,./0.png
94.868856,21.165195,,,,./0.png
94.869137,21.164716,,,,./0.png
94.869083,21.164617,,,,./0.png
94.869412,21.164606,,,,./0.png
94.866305,21.164325,,,,./0.png
94.867622,21.163354,,,,./0.png
94.86776,21.163363,,,,./0.png
94.867812,21.163234,,,,./0.png
94.8645,21.164414,,,,./0.png
94.863995,21.16398,,,,./0.png
94.864004,21.163881,,,,./0.png
94.864607,21.163649,,,,./0.png
94.864556,21.165517,,,,./0.png
94.8705,21.166606,,,,./0.png
94.870815,21.167181,,,,./0.png
94.870699,21.167231,,,,./0.png
94.870644,21.167082,,,,./0.png
94.87093,21.166981,,,,./0.png
94.871253,21.167397,,,,./0.png
94.870413,21.166438,,,,./0.png
94.870741,21.166307,,,,./0.png
94.868929,21.166833,,,,./0.png
94.872497,21.169118,,,,./0.png
94.872688,21.167359,,,,./0.png
94.868616,21.167252,,,,./0.png
94.872187,21.165484,,,,./0.png
94.87334,21.165915,,,,./0.png
94.873436,21.165954,,,,./0.png
94.873234,21.166839,,,,./0.png
94.873406,21.167017,,,,./0.png
94.867776,21.165499,,,,./0.png
94.87156,21.170713,,,,./0.png
94.870313,21.170422,,,,./0.png
94.870257,21.170263,,,,./0.png
94.871523,21.170326,,,,./0.png
94.874361,21.171174,,,,./0.png
94.875885,21.170639,,,,./0.png
94.875774,21.172031,,,,./0.png
94.875584,21.172101,,,,./0.png
94.875947,21.169675,,,,./0.png
